,BRAND,MODEL GROUP,"REFERENCE/
PART NO",Model,DESCRIPTION,UOM,Country of Origin,"Tariff 
code",Height (cm),Width (cm),Depth (cm),"Gross 
Weight (kg)",Net Weight (kg)
1,ECLER,Amplifiers,CGPA2400ES,GPA2-400ES,Energy Star amplifier 2 x 350 WRMS @ 4? ,Pcs,Spain,8518400000,55,50,12,12.2,10.8
1,ECLER,Amplifiers,CGPA2800,GPA2-800,Energy Star amplifier  2x720 WRMS @ 4? ,Pcs,Spain,8518400000,12,55,50,15.3,13.5
1,ECLER,Accesories,CGROUNDYBK,GROUNDYBK,EMOTUS3/5 GROUND BRACKET BK,Pcs,China,8302500000,2,21,15,0.13,0.13
1,ECLER,Amplifiers,CHADA4B150,HADA-4B150,"DSP Amplifier, 4 x 125W outputs @ 8/4ohms.2 x 250W @ HiZ (100/70V) in bridge mode.",Pcs,Spain,8518400000,55,50,12,7.3,5.5
1,ECLER,Amplifiers,CHADA4B250,HADA-4B250,"DSP Amplifier,4 x 250W outputs @8/ 4ohms. 2 x 500W @ HiZ (100/70V) in bridge mode",Pcs,Spain,8518400000,55,50,12,7.3,5.5
1,ECLER,Amplifiers,CHADA4B400,HADA-4B400,"DSP Amplifier,4 x 400W outputs @8/ 4ohms. 2 x 800W @ HiZ (100/70V) in bridge mode",Pcs,Spain,8518400000,55,50,12,7.3,5.5
1,ECLER,Amplifiers,CHADA4B500,HADA-4B500,"DSP Amplifier,4 x 500W outputs @4 ohms. 2 x 1000W @ HiZ (100/70V) in bridge mode",Pcs,Spain,8518400000,55,50,12,7.3,5.5
1,ECLER,Amplifiers,CHADA4B750,HADA-4B750,"DSP Amplifier,4 x 750W outputs @4 ohms. 2 x 1500W @ HiZ (100/70V) in bridge mode",Pcs,Spain,8518400000,55,50,12,7.3,5.5
1,ECLER,Amplifiers,CHALO2B300,HALO-2B300,Amp 2 Canales HiZ LoZ 300W con DSP,Pcs,Spain,TBC,TBC,TBC,TBC,TBC,TBC
1,ECLER,Amplifiers,CHALO4B150,HALO-4B150,Amp 4 Canales HiZ LoZ 150W con DSP,Pcs,Spain,TBC,TBC,TBC,TBC,TBC,TBC
1,ECLER,Amplifiers,CHALO4B300,HALO-4B300,Amp 4 Canales HiZ LoZ 300W con DSP,Pcs,Spain,TBC,TBC,TBC,TBC,TBC,TBC
1,ECLER,Accesories,CHANDYBK,HANDY,MIA pan&tilt wall bracket BK,Pcs,China,8302500000,2,21,15,0.13,0.13
1,ECLER,Accesories,CHANDYWH,HANDY,MIA pan&tilt wall bracket WH,Pcs,China,8302500000,2,21,15,0.13,0.13
1,ECLER,Amplifiers,CHMA120,HMA120,1 x 120W @ 4? or 70V/100V self-powered mixer with USB & SD card,Pcs,Spain,8518400000,11.8,37,34,7.16,5.95
1,ECLER,Amplifiers,CHSA2400ES,HSA2-400ES,2x400W HZ ENERGY STAR AMPLIFIER,Pcs,Spain,8518400000,20,51,57,19.3,16.4
1,ECLER,Digital Matrixes And Processors,CHUB1408,HUB1408,Digital zone manager with 14 inputs and 8 outputs,Pcs,Spain,8518400000,12,55,39,5.6,3.74
1,ECLER,Digital Matrixes And Processors,CHUB1616,HUB1616,Digital zone manager with 16 inputs and 16 outputs,Pcs,Spain,8518400000,12,55,39,5.66,3.8
1,ECLER,Amplifiers,CHZA4120F,HZA4-120F,120W 100V 4 channel amplifier,Pcs,Spain,8518400000,12,50,55,16.4,13.6
1,ECLER,Loudspeakers,CIC3BK,IC3,"3"" in-ceiling loudspeaker-10W RMS @ 8 ohm, 100/70vV: 6W  -Black (Priced in Pc sold in pairs)",Pcs,China,8518210000,13,12,23,0.6,0.3
1,ECLER,Loudspeakers,CIC3WH,IC3,"3"" in-ceiling loudspeaker-10W RMS @ 8 ohm, 100/70vV: 6W -White (Priced in Pc sold in pairs)",Pcs,China,8518210000,13,12,23,0.6,0.3
1,ECLER,Loudspeakers,CIC6,IC6,"2 way 6.5"" ceiling loudspeaker, 40W RMS @ 8 ohm, 100V: 15W   -White (Priced in Pc sold in pairs)",Pcs,China,8518210000,25,24,22,1.9,1.6
1,ECLER,Loudspeakers,CIC6BK,IC6,"2 way 6.5"" ceiling loudspeaker, 40W RMS @ 8 ohm, 100V: 15W -Black (Priced in Pc sold in pairs)",Pcs,China,8518210000,25,22,24,1.9,1.52
1,ECLER,Loudspeakers,CIC8,IC8,"2 way 8"" ceiling loudspeaker, 80W RMS @ 8 ohm, 100V: 30W   -White (Priced in Pc sold in pairs)",Pcs,China,8518210000,29,29,26,2.6,2.3
1,ECLER,Accesories,CICTB6,IC-TB6,Tile bridge for IC loudspk. diam=182mm,Pair,Spain,8302500000,4,30,78,2.1,1.9
1,ECLER,Accesories,CICTB8,IC-TB8,Tile bridge for IC loudspk. diam=230mm,Pair,Spain,8302500000,4,30,80,2,1.8
1,ECLER,Loudspeakers,CIG108,IG108,"8"" Outdoor in-ground mashroom loudspeaker 100W, 60W @ 100V",Pcs,China,8518220000,47,42,42,10.5,8.5
1,ECLER,Loudspeakers,CIW103,IW103,"3"" in wall rectangle loudspeaker, 15W/30W @ 100V selector -White (Priced in Pc sold in pair)",Pcs,China,8518210000,10,12,18,1,0.9
1,ECLER,Loudspeakers,CKICKSB18BK,KICK-SB18,"8”  Outdoor passive subwoofer  350W @8ohms, IP46",Pcs,China,8518220000,54,49,35,TBC,TBC
1,ECLER,Loudspeakers,CKICKSB28,KICK-SB28,"2x8""  Outdoors subwoofer, 700W @ 4Ohms, IP46",Pcs,China,8518220000,33.5,26,36.5,28,23.35
1,ECLER,Loudspeakers,CLABI1C100I,LABI1-C100i,"Full-range passive 100cm column  loudspeaker 12 x 3” drivers with 0.75” neodymium voice coil, 300 W AES @ 8Ohm - Black",Pcs,Spain,8518220000,17,20,106,9.1,7.8
1,ECLER,Accesories,CLABI1CAC,LABI1-CAC,LABI1 Column-Column Mount Bracket,Pcs,Spain,8302500000,5.8,16,33,1,0.92
1,ECLER,Accesories,CLABI1CFC,LABI1-CFC,LABI1 2 Column Flight Case,Pcs,Spain,8302500000,23,43,118,15.5,15.5
1,ECLER,Accesories,CLABI1HBC,LABI1-HBC,LABI1 Column-Floor Horiz. Stand Kit,Pcs,Spain,8302500000,7,18,14,0.5,0.4
1,ECLER,Accesories,CLABI1ODCNX,LABI1-ODCNX,LABI1 Outdr Connect cover+packing gland,Pcs,Spain,8302500000,10,12,18.5,0.18,0.12
1,ECLER,Accesories,CLABI1PBC,LABI1-PBC,LABI1 Column-Pole Mount Bracket,Pcs,Spain,8302500000,10,12,18.5,1.25,1.16
1,ECLER,Accesories,CLABI1SAC,LABI1-SAC,LABI1 Column-Subwoofer Mount Bracket,Pcs,Spain,8302500000,10,16.5,16.5,1,0.9
1,ECLER,Loudspeakers,CLABI1SB18,LABI1-SB18,LABI1 Subwoofer Passive 18” 500W @ 8ohm,Pcs,Spain,8518220000,55,54,74,40.7,37.1
1,ECLER,Loudspeakers,CLABI1SB18P,LABI1-SB18p,18” powered subwoofer Low frequency amplifier: 1200W,Pcs,Spain,8518220000,55,54,74,42.7,39.1
1,ECLER,Accesories,CLABI1SPC,LABI1-SPC,LABI1 Subwoofer Protection Cover,Pcs,Spain,6307909899,8,62,66,2.38,1.38
1,ECLER,Accesories,CLABI1SWK,LABI1-SWK,LABI1 Subwoofer Wheel Kit,Pcs,Spain,8302500000,16,21,25.5,2.8,2.72
1,ECLER,Accesories,CLABI1TBC,LABI1-TBC,LABI1 Column-Truss Mount Bracket,Pcs,Spain,8302500000,10,12,18.5,0.85,0.7
1,ECLER,Accesories,CLABI1WBC,LABI1-WBC,LABI1 Column-Wall Mount Bracket,Pcs,Spain,8302500000,10,12,18.5,1.35,1.2
1,ECLER,Accesories,CMBSTAND,MBSTAND,Microphone boom stand,Pcs,China,8302500000,10,10,99,3.4,3.1
1,ECLER,Accesories,CMDSTAND,MDSTAND,Microphone desktop stand,Pcs,China,8302500000,5,12,14,0.6,0.5
1,ECLER,Loudspeakers,CMIA81BK,MIA81BK,"8x1,5” mini-array column speaker, 40 W RMS 16? / 64? - Black",Pcs,Spain,8518220000,16,65.5,13.5,1.9,1.2
1,ECLER,Loudspeakers,CMIA81WH,MIA81WH,"8x1,5” mini-array column speaker, 40 W RMS 16? / 64? -White",Pcs,Spain,8518220000,16,65.5,13.5,1.9,1.2
1,ECLER,Loudspeakers,CMIA82BK,MIA82BK,"8x2,5” mini-array column speaker 150 W RMS 16? / 64? - Black  ",Pcs,Spain,8518220000,16,92,13.5,3.45,2.65
1,ECLER,Loudspeakers,CMIA82WH,MIA82WH,"8x2,5” mini-array column speaker 150 W RMS 16? / 64? -White",Pcs,Spain,8518220000,16,92,13.5,3.45,2.65
1,ECLER,Digital Matrixes And Processors,CMIMO1212SG,MIMO1212SG,12x12 digital matrix (not expandable) Fully programmable and controllable via EclerNet software,Pcs,Spain,8518400000,7,59,38,4.5,3.5
1,ECLER,Digital Matrixes And Processors,CMIMO4040CDN,MIMO4040CDN,40x40 CONFERENCE digital audio DANTE matrix,Pcs,Spain,8518400000,59,7,38,4.5,3.25
1,ECLER,Digital Matrixes And Processors,CMIMO7272DN,MIMO7272DN,72x72 digital audio DANTE matrix,Pcs,Spain,8518400000,59,7,38,4.5,3.25
1,ECLER,Digital Matrixes And Processors,CMIMO88,MIMO88,Audio Digital Matrix 8x8 (Expandable to 16x16),Pcs,Spain,8518400000,7,59,38,4.8,4.3
1,ECLER,Digital Matrixes And Processors,CMIMO88SG,MIMO88SG,Audio digital matrix 8x8 SG,Pcs,Spain,8518400000,7,59,38,4.5,3.5
1,ECLER,Remote Controls And Interfaces,CMPAGE1R,MPAGE1r,Single zone pagi9ng microphone,Pcs,Spain,8518400000,16.5,24,19,1,0.65
1,ECLER,Remote Controls And Interfaces,CMPAGE4,MPAGE4,4 zone paging microphone,Pcs,Spain,8518400000,16.5,24,19,1,0.65
1,ECLER,Loudspeakers,CNIMBO14BK,NIMBO-14,"NIMBO 1x4""  2 Way Loudspeaker 40w @ 8Ohm Black",Pcs,Spain,8518220000,26.5,33.5,24.5,3.5,1.7
1,ECLER,Loudspeakers,CNIMBO14CR,NIMBO-14,"NIMBO 1x4""  2 Way Loudspeaker 40w @ 8Ohm Colour RAL",Pcs,Spain,8518220000,26.5,33.5,24.5,3.5,1.7
1,ECLER,Loudspeakers,CNIMBO14GD,NIMBO-14,"NIMBO 1x4""  2 Way Loudspeaker 40w @ 8Ohm Gold",Pcs,Spain,8518220000,26.5,33.5,24.5,3.5,1.7
1,ECLER,Loudspeakers,CNIMBO14TN,NIMBO-14,"NIMBO 1x4""  2 Way Loudspeaker 40w @ 8Ohm Titan",Pcs,Spain,8518220000,26.5,33.5,24.5,3.5,1.7
1,ECLER,Loudspeakers,CNIMBO14WH,NIMBO-14,"NIMBO 1x4""  2 Way Loudspeaker 40w @ 8Ohm White",Pcs,Spain,8518220000,26.5,33.5,24.5,3.5,1.7
1,ECLER,Loudspeakers,CNIMBO24BK,NIMBO-24,"NIMBO 2x4""  2 Way Loudspeaker 80w @ 4/ 16Ohm Black",Pcs,Spain,8518220000,31,45,30,5,3
1,ECLER,Loudspeakers,CNIMBO24CR,NIMBO-24,"NIMBO 2x4""  2 Way Loudspeaker 80w @ 4/ 16Ohm Colour RAL",Pcs,Spain,8518220000,31,45,30,5,3
1,ECLER,Loudspeakers,CNIMBO24GD,NIMBO-24,"NIMBO 2x4""  2 Way Loudspeaker 80w @ 4/ 16Ohm Gold",Pcs,Spain,8518220000,31,45,30,5,3
1,ECLER,Loudspeakers,CNIMBO24TN,NIMBO-24,"NIMBO 2x4""  2 Way Loudspeaker 80w @ 4/ 16Ohm Titan",Pcs,Spain,8518220000,31,45,30,5,3
1,ECLER,Loudspeakers,CNIMBO24WH,NIMBO-24,"NIMBO 2x4""  2 Way Loudspeaker 80w @ 4/ 16Ohm White",Pcs,Spain,8518220000,31,45,30,5,3
1,ECLER,Loudspeakers,CNIMBO26BK,NIMBO-26,"NIMBO 2x6""  2 Way Loudspeaker 140w @ 4/ 16Ohm Black",Pcs,Spain,8518220000,44.5,64,39,12.6,8.35
1,ECLER,Loudspeakers,CNIMBO26CR,NIMBO-26,"NIMBO 2x6""  2 Way Loudspeaker 140w @ 4/ 16Ohm Colour RAL",Pcs,Spain,8518220000,44.5,64,39,12.6,8.35
1,ECLER,Loudspeakers,CNIMBO26GD,NIMBO-26,"NIMBO 2x6""  2 Way Loudspeaker 140w @ 4/ 16Ohm Gold",Pcs,Spain,8518220000,44.5,64,39,12.6,8.35
1,ECLER,Loudspeakers,CNIMBO26TN,NIMBO-26,"NIMBO 2x6""  2 Way Loudspeaker 140w @ 4/ 16Ohm Titan",Pcs,Spain,8518220000,44.5,64,39,12.6,8.35
1,ECLER,Loudspeakers,CNIMBO26WH,NIMBO-26,"NIMBO 2x6""  2 Way Loudspeaker 140w @ 4/ 16Ohm White",Unit,Spain,8518220000,44.5,64,39,12.6,8.35
1,ECLER,Amplifiers,CNXA4200,NXA4-200,4 x 200W eNET powered manager,Pcs,Spain,8518400000,12,55,50,12.7,11.7
1,ECLER,Amplifiers,CNXA4400,NXA4-400,4x400W eNET powered manager,Pcs,Spain,8518400000,20,51,57,17.6,16.3
1,ECLER,Amplifiers,CNXA480,NXA4-80,4 x 80W eNET powered manager,Pcs,Spain,8518400000,12,55,50,10.5,9.5
1,ECLER,Amplifiers,CNXA6200,NXA6-200,6 x 200W eNET powered manager,Pcs,Spain,8518400000,12,50,55,15.9,14.9
1,ECLER,Amplifiers,CNXA680,NXA6-80,6 x 80W eNET powered manager,Pcs,Spain,8518400000,12,50,55,11.2,10.7
1,ECLER,Accesories,CNXAC8RM,CNXAC8RM,1 RU 8 socket AC strip,Pcs,China,8544200000,45,15,8,0.7,0.6
1,ECLER,Accesories,CNXEBEB1,CNXEBEB1,EUROBLOCK EUROBLOCK cable 1 metre,Pcs,China,8544200000,2,20,20,0.05,0.04
1,ECLER,Accesories,CNXEBEB2M5,CNXEBEB2M5,EUROBLOCK EUROBLOCK cable 2.5 metre,Pcs,China,8544200000,2,40,40,0.2,0.2
1,ECLER,Accesories,CNXEBLINK4,CNXEBLINK4,4 EUROBLOCK link cable 12 cm,Pcs,China,8544200000,2,5,5,0.05,0.04
1,ECLER,Accesories,CNXEBRCA1,CNXEBRCA1,2 x EUROBLOCK RCA cable 1 metre,Pcs,China,8544200000,2,20,10,0.05,0.04
1,ECLER,Accesories,CNXMJXLR2,CNXMJXLR2,"Minijack stereo Cable - 1x XLRm, 2m",Pcs,China,8544200000,2,5,5,0.1,0.1
1,ECLER,Accesories,CNXRCAEBAD,CNXRCAEBAD,EUROBLOCK 3p RCA MONO adapter,Pcs,China,8544200000,2,5,5,0.2,0.2
1,ECLER,Accesories,CNXXLRFEB,CNXXLRFEB,EUROBLOCK 3p XLR FEMALE cable 0.5 metre,Pcs,China,8544200000,2,20,10,0.06,0.04
1,ECLER,Accesories,CNXXLRXLR1,CNXXLRXLR1,XLRM XLRF cable 1 meter,Pcs,China,8544200000,2,20,10,0.5,0.5
1,ECLER,Accesories,CNXXLRXLR10,CNXXLRXLR10,"Cable XLRm - XLRh, 10 m",Pcs,China,8544200000,35,25,5,0.38,0.01
1,ECLER,Accesories,CNXXLRXLR5,CNXXLRXLR5,"Cable XLRm - XLRh, 5 m",Pcs,China,8544200000,35,25,5,0.18,0.01
1,ECLER,Remote Controls And Interfaces,CPAGENETDN,PAGENETDN,EclerNet DANTE Paging Station -Desktop paging station based on touch screen and programmable UCP panels,Pcs,Spain,8518400000,15,24,45,2.5,2.1
1,ECLER,Accesories,CPKIC6,PKIC6,Paintable kit for IC6,Pcs,Spain,8518220000,2,28,31,0.4,0.3
1,ECLER,Accesories,CPKIC8,PKIC8,Paintable kit for IC8,Pcs,Spain,8302500000,2,8,31,0.3,0.2
1,ECLER,Sound Sources,CPLAYERONE,PLAYER ONE,Streaming(Airplay) and local media(USB/ SD card) Single-deck audio player with LCD display,Pcs,Spain,8519890000,6,22,45,1.2,0.9
1,ECLER,Sound Sources,CPLAYERZERO,PLAYER ZERO,Streaming(Airplay) and local media(USB/ SD card) Single-deck audio player,Pcs,Spain,8519890000,6,22,45,0.8,0.6
1,ECLER,Accesories,CPOLE01,POLE01,Pole Mount for Subs,Pcs,Spain,8302500000,74,8,8,0.6,0.5
1,ECLER,Remote Controls And Interfaces,CPULSO10,PULSO-10,10“ Control Touch Panel for Ecler devices,Pcs,TBC,8518400000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Remote Controls And Interfaces,CPULSO4,PULSO-4,4“ Control Touch Panel for Ecler devices,Pcs,TBC,8518400000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Remote Controls And Interfaces,CPULSO6,PULSO-6,"5,5“ Control Touch Panel for Ecler devices",Pcs,TBC,8518400000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Accesories,CPUM3,PUM3,Minirack junction piece,Pcs,Spain,8302500000,5,5,1,0.02,0.02
1,ECLER,Accesories,CRAILAPTORBK,RAILAPTOR,Speaker rail adaptor. Black (Priced in Pc sold in pair),Pcs,China,8302500000,2,21,15,0.13,0.13
1,ECLER,Accesories,CRAILAPTORWH,RAILAPTOR,Speaker rail adaptor. White (Priced in Pc sold in pair),Pcs,China,8302500000,2,21,15,0.13,0.13
1,ECLER,Installation Mixers,CSAM412T,SAM412T,"Installation Analogue Mixer, 4 Inputbchannels",Pcs,Spain,8518400000,6,58,32,3.5,2.4
1,ECLER,Installation Mixers,CSAM612T,SAM612T,6x2 | 1U rack | 3-band EQ | analogue mixer -Installation Preamps. & Mixers |,Pcs,Spain,8518400000,6,22,56,2.6,2
1,ECLER,Installation Mixers,CSAMI402,SAMI-402,4 channel Analogue Stereo mixer 4x2 | 1U rack,Pcs,Spain,8518400000,6,56,22,2.4,1.7
1,ECLER,Installation Mixers,CSAMI603,SAMI-603,6 channel Analogue Stereo mixer  6x3 | 1U rack,Pcs,Spain,8518400000,6,22,56,2.7,2.1
1,ECLER,Installation Mixers,CSAMI612,SAMI-612,6 channel Analogue Stereo mixer  6x2 | 1U rack | 3-band EQ,Pcs,Spain,8518400000,6,22,56,2.6,2
1,ECLER,Installation Mixers,CSAMI702BT,SAMI-702BT,7 channel Analogue Stereo mixer  7x2 | 1U rack | Bluetooth®,Pcs,Spain,8518400000,6,56,22,2.5,1.8
1,ECLER,Accesories,CSR12,SR12,Mount brckt  ARQIS110/112 35mm,Pcs,China,8302500000,29,14,17,2.1,1.7
1,ECLER,Loudspeakers,CTRAIL103BK,TRAIL103,"Rail Mount  3"" loudspeaker cabinet BK (Priced in Pc sold in pair)",Pcs,China,8518220000,14,24,16,1.4,1.1
1,ECLER,Loudspeakers,CTRAIL103WH,TRAIL103,"Rail Mount 3"" loudspeaker cabinet WH (Priced in Pc sold in pair)",Pcs,China,8518220000,14,24,16,1.4,1.1
1,ECLER,Loudspeakers,CTRAILSB6TBK,TRAILSB6T,"6"" concealable subwoofer cabinet BK, 60W @8ohm / 100V",Pcs,China,8518210000,26,36,40,8.9,6.4
1,ECLER,Accesories,CTRIPO1,TRIPO1,Speaker Stand,Pcs,China,8302500000,15,27,105,4.4,4
1,ECLER,WiSpeak: Wireless Pro Audio,CTUBE3BK,TUBE3BK,"Rail Mount  3"" WiSpeak RX Loudspeaker Black",Pcs,China,8518220000,18.5,19.5,24.5,1.12,0.8
1,ECLER,WiSpeak: Wireless Pro Audio,CTUBE3WH,TUBE3WH,"Rail Mount 3"" WiSpeak RX Loudspeaker White",Pcs,China,8518220000,18.5,19.5,24.5,1.12,0.8
1,ECLER,WiSpeak: Wireless Pro Audio,CTUBESMABK,TUBE SMA,WiSpeak TUBE Surface Mount Adapter Black,Pcs,Spain,8302500000,4,21,15,0.15,0.1
1,ECLER,WiSpeak: Wireless Pro Audio,CTUBESMAWH,TUBE SMA,WiSpeak TUBE Surface Mount Adapter White,Pcs,Spain,8302500000,4,21,15,0.15,0.1
1,ECLER,Remote Controls And Interfaces,CUBWPACNXJRC,UBWPACNX-JRC,"Wall-panel, in US single gang - WPa minijack ST + 2x RCA connect",Pcs,Spain,8518400000,8,14,14,0.1,0.03
1,ECLER,Remote Controls And Interfaces,CUBWPAVOL,UBWPAVOL,Volume control | flush mount | US single gang,Pcs,Spain,8518400000,8,14,14,0.1,0.03
1,ECLER,Audio Management Devices,CVEOAEXS4,VEO-AEXS4,HDMI 2.0 Audio De-Embedder ,Pcs,China,8517620000,21,6,15,0.4,0.14
1,ECLER,Audio Management Devices,CVEOAXS4,VEO-AXS4,HDMI 2.0 Audio Extractor 18Gbps,Pcs,China,8517620000,6,15,21,0.5,0.18
1,ECLER,Audio Management Devices,CVEOAXS4P,VEO-AXS4P,HDMI 2.0 Audio Extractor Pro,Pcs,China,8517620000,6.5,19.5,14.5,0.6,0.25
1,ECLER,AV Interfaces,CVEOCAP4U,VEO-CAP4U,Professional USB video capture,Pcs,China,8517620000,3.5,16.5,13,1,0.75
1,ECLER,Accessories,CVEOCH200,VEO-CH200,Premium High Speed HDMI®2.0 Cable with Ethernet 0.5m,Pcs,China,8517620000,5,23,27,0.7,0.6
1,ECLER,Accessories,CVEOCH201,VEO-CH201,Premium High Speed HDMI®2.0 Cable with Ethernet 1m,Pcs,China,8544200000,2,18,18,0.1,0.1
1,ECLER,Accessories,CVEOCH202,VEO-CH202,Premium High Speed HDMI®2.0 Cable with Ethernet 2m,Pcs,China,8544200000,3,18,18,0.17,0.17
1,ECLER,Accessories,CVEOCH203,VEO-CH203,Premium High Speed HDMI®2.0 Cable with Ethernet 3m,Pcs,China,8544200000,3,18,18,0.17,0.17
1,ECLER,Accessories,CVEOCH205,VEO-CH205,Premium High Speed HDMI®2.0 Cable with Ethernet 5m,Pcs,China,8544200000,4.5,18,18,0.4,0.4
1,ECLER,Accessories,CVEOCH208,VEO-CH208,Premium High Speed HDMI®2.0 Cable with Ethernet 8m,Pcs,China,8544200000,4.5,18,18,0.4,0.4
1,ECLER,Accessories,CVEOCH210,VEO-CH210,Premium High Speed HDMI®2.0 Cable with Ethernet 10m,Pcs,China,8544200000,5,23,27,0.7,0.6
1,ECLER,Audio Management Devices,CVEODACS4,VEO-DACS4,DAC Converter And ARC Extractor,Pcs,China,8517620000,21,6,15,0.4,0.16
1,ECLER,Matrixes,CVEOMXH44,VEO-MXH44,4x4 HDMI 2.0 Matrix swictehr ,Pcs,China,8517620000,6,25.5,20,1.1,1
1,ECLER,Matrixes,CVEOMXH44D,VEO-MXH44D,HDMI® 4x4 18Gbps Matrix with Audio De-Embedders and Display,Pcs,China,8517620000,8.5,31,26.4,1.4,1.39
1,ECLER,Matrixes,CVEOMXH48T,VEO-MXH48T,"4K HDBaseT | HDMI® 8x8 Matrix, * HDMI in , 8HDMI Out nm=mirrored with 8HDBaseT out",Pcs,China,8517620000,8.5,50,26.4,3.7,2.9
1,ECLER,Matrixes,CVEOMXH88D,VEO-MXH88D,HDMI® 8x8 18Gbps Matrix with Audio De-Embedders and Display,Pcs,China,8517620000,8.5,50,26.4,3.7,2.9
1,ECLER,Accessories,CVEORACK19,VEO-RACK19,Univ. 19” Rack mount shelf VEO series,Pcs,Spain,8302500000,13,55,50,4.5,2.6
1,ECLER,Accessories,CVEORK1CG2,VEORK1CG2,Rack mount shelf for VEO-1CG2 series,Pcs,China,8302500000,14,49,2,4.5,2.6
1,ECLER,Video Distribution Over IP,CVEOSPH42,VEO-SPH42,HDMI 2.0 Splitter 1x2 18Gbps,Pcs,China,8517620000,6,15,21,0.4,0.12
1,ECLER,Splitters,CVEOSPH44,VEO-SPH44,HDMI 2.0 Splitter 1x4 18Gbps,Pcs,China,8517620000,6,22,19,0.6,0.25
1,ECLER,Splitters,CVEOSPH48,VEO-SPH48,HDMI 2.0 Splitter 1x8 18Gbps,Pcs,China,8517620000,5,28,20,1,0.61
1,ECLER,Video Distribution Over IP,CVEOSPS42,VEO-SPS42,VEO-SPS42 4K 18Gbps HDMI to HDBaseT -1x2 Splitter,Pcs,China,8517620000,8,29,22,0,0.25
1,ECLER,Splitters,CVEOSPS44,VEO-SPS44,VEO-SPS44 4K 18Gbps HDMI to HDBaseT  1x4 Splitter,Pcs,China,8517620000,9.2,31.6,31,0,0.25
1,ECLER,Splitters,CVEOSPS48,VEO-SPS48,VEO-SPS48 4K 18Gbps HDMI to HDBaseT 1x8 Splitter,Pcs,China,8517620000,9,41,41,0,0.25
1,ECLER,Switchers,CVEOSWC44,VEO-SWC44,4K Wireless Conferencing and rpesentationSwitcher,Pcs,China,8517620000,7.7,34,20.8,1.25,0.7
1,ECLER,Switchers,CVEOSWC44TH,VEO-SWC44TH,HDMI Dongle for VEO-SWC44,Pcs,China,8517620000,3.4,23.2,9.5,0.15,0.1
1,ECLER,Switchers,CVEOSWC44TU,VEO-SWC44TU,USB-C Dongle for VEO-SWC44,Pcs,China,8517620000,3.4,23.2,9.5,0.15,0.1
1,ECLER,Switchers,CVEOSWC45,VEOSWC45,"4K Professional Presentation&Conference swicther, Dual HDMI out, HDMI input, USB Host anmd device connctivity",Pcs,China,8517620000,7.7,34,20.8,1.25,0.7
1,ECLER,Switchers,CVEOSWC45TH,VEOSWC45TH,HDMI Dongle for VEO-SWC45,Pcs,China,8517620000,3.4,23.2,9.5,0.15,0.1
1,ECLER,Switchers,CVEOSWC45TU,VEOSWC45TU,USB-C Dongle for VEO-SWC45,Pcs,China,8517620000,3.4,23.2,9.5,0.15,0.1
1,ECLER,Switchers,CVEOSWH44,VEO-SWH44,4x1 HDMI®2.0 SWITCHER with audio De-embedder,Pcs,China,8517620000,5.5,25,18.5,0.7,0.3
1,ECLER,Switchers,CVEOSWM44,VEO-SWM44,4K 4x1 Presentation SWITCHER | with VEOCast,Pcs,China,8517620000,7.7,35.5,25.5,1.9,0.9
1,ECLER,Switchers,CVEOSWM45,VEO-SWM45,Switcher HDMI 2.0 5x1 multi-format,Pcs,China,8517620000,10,32,31,2.1,1.25
1,ECLER,Video Distribution Over IP,CVEOXCTRL4D,VEO-XCTRL4D,JPEG200 Over IP Video Ext. Control,Pcs,China,8517620000,7.8,25.7,15.9,0.95,0.5
1,ECLER,Video Distribution Over IP,CVEOXCTRLG2,VEO-XCTRLG2,H.265 Full HD over IP Video Extender Controller,Pcs,China,8517620000,7.8,25.7,15.9,0.95,0.5
1,ECLER,Extenders,CVEOXPS43,VEO-XPS43,"4K Single Cat.6 Extender Kit, 4K/UHD up to 30m of distance and Full HD to 60m ",Pcs,China,8517620000,9,17,20,0.9,0.6
1,ECLER,Extenders,CVEOXPS47,VEO-XPS47,4K 18Gbps HDMI Extender Kit w/Audio Extr,Pcs,China,8517620000,8,22,14,0,0.25
1,ECLER,Extenders,CVEOXPT24,VEO-XPT24,4K HDbaseT Extender Kit 10.2Gbps,Pcs,China,8517620000,6,32,25,1,0.7
1,ECLER,Extenders,CVEOXPT412,VEO-XPT412,"4K 18Gbps HDBaseT  Extender Kit, 120Mtr 4K & 150 Mtr FHD",Pcs,China,8517620000,8,22,14,0,0.25
1,ECLER,Extenders,CVEOXPT44A,VEO-XPT44A,HDMI® HDbaseT Extender- 18Gbps | with Audio Extraction ,Pcs,China,8517620000,9,17,20,0.9,0.6
1,ECLER,Video Distribution Over IP,CVEOXRI1CG2,VEO-XRI1CG2,H.265 FullHD Over IP Video Extender RX ( Decoder),Pcs,China,8517620000,3,21,10,1,0.7
1,ECLER,Video Distribution Over IP,CVEOXRI2L,VEO-XRI2L,4K Low Latency Over IP Video Extender-RX(Decoder),Pcs,China,8517620000,8,32,17,0.6,0.28
1,ECLER,Video Distribution Over IP,CVEOXRI4D,VEO-XRI4D,JPEG2000 4K Over IP Video Receiver,Pcs,China,8517620000,TBC,TBC,TBC,TBC,TBC
